idx	tag	id	class	display	x	y	width	height	margin_t	margin_r	margin_b	margin_l	padding_t	padding_r	padding_b	padding_l	border_t	border_r	border_b	border_l	flex_grow	flex_shrink	position	box_sizing
29	script			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
30	script		js-httpswwwyoutubecomsdesktop6740ecb6jsbinschedulervflsetschedulerjs	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
31	script		js-httpswwwyoutubecomsdesktop6740ecb6jsbinwwwi18nconstantsen_USvflsetwwwi18nconstantsjs	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
32	script			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
33	link		css-fontsgoogleapiscomcss2familyRobotowght300400500700familyYouTubeSanswght300900displayswap	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
34	script			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
35	link		css-splayer5b27766fwwwplayercss	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
36	link		css-httpswwwyoutubecomsdesktop6740ecb6cssbinwwwmaindesktopwatchpageskeleton2xcss	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
37	link		css-httpswwwyoutubecomsdesktop6740ecb6cssbinwwwmaindesktopplayerskeleton2xcss	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
38	link		css-httpswwwyoutubecomsdesktop6740ecb6cssbinwwwonepick2xcss	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
39	link		css-httpswwwyoutubecoms_ytmainappweb_sskytmainappwebkevlar_basejTuwlc5bamoLB1OamAAAAEAAgBADmd0rsAGKMywFO8TLl83AJuYyvQdMqUcmX8tS	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
40	style		global_styles	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
41	style		masthead_shell	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
42	style	ext-styles	masthead_custom_styles	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
43	style		searchbox	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
44	style		kevlar_global_styles	none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
45	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
46	link			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
